id     subscription_startsubscription_endsegment
      12016-12-01        2017-02-01          87
      22016-12-01        2017-01-24          87
      32016-12-01        2017-03-07          87
      42016-12-01        2017-02-12          87
      52016-12-01        2017-03-09          87
      62016-12-01        2017-01-19          87
      72016-12-01        2017-02-03          87
      82016-12-01        2017-03-02          87
      92016-12-01        2017-02-17          87
     102016-12-01        2017-01-01          87
     112016-12-01        2017-01-17          87
     122016-12-01        2017-02-07          87
     132016-12-01        NULL                30
     142016-12-01        2017-03-07          30
     152016-12-01        2017-02-22          30
     162016-12-01        NULL                30
     172016-12-01        NULL                30
     182016-12-02        2017-01-29          87
     192016-12-02        2017-01-13          87
     202016-12-02        2017-01-15          87
     212016-12-02        2017-01-15          87
     222016-12-02        2017-01-24          87
     232016-12-02        2017-01-14          87
     242016-12-02        2017-01-18          87
     252016-12-02        2017-02-24          87
     262016-12-02        2017-01-18          87
     272016-12-02        2017-01-11          87
     282016-12-02        2017-03-30          30
     292016-12-02        2017-02-11          30
     302016-12-02        2017-01-20          30
     312016-12-02        NULL                30
     322016-12-02        2017-01-11          30
     332016-12-02        NULL                30
     342016-12-02        2017-02-06          30
     352016-12-03        2017-02-17          87
     362016-12-03        2017-03-06          87
     372016-12-03        2017-03-08          87
     382016-12-03        2017-02-28          87
     392016-12-03        NULL                30
     402016-12-03        NULL                30
     412016-12-03        NULL                30
     422016-12-03        2017-03-29          30
     432016-12-03        NULL                30
     442016-12-04        2017-03-11          87
     452016-12-04        2017-02-02          87
     462016-12-04        2017-02-18          87
     472016-12-04        2017-02-06          87
     482016-12-04        2017-03-12          87
     492016-12-04        2017-03-06          87
     502016-12-04        2017-02-15          87
     512016-12-04        2017-01-06          87
     522016-12-04        2017-02-21          87
     532016-12-04        2017-01-31          87
     542016-12-04        2017-03-08          87
     552016-12-04        2017-02-21          87
     562016-12-04        NULL                30
     572016-12-04        NULL                30
     582016-12-04        NULL                30
     592016-12-04        NULL                30
     602016-12-04        NULL                30
     612016-12-04        NULL                30
     622016-12-04        2017-03-11          30
     632016-12-04        2017-01-14          30
     642016-12-04        NULL                30
     652016-12-04        NULL                30
     662016-12-04        NULL                30
     672016-12-04        NULL                30
     682016-12-05        2017-01-13          87
     692016-12-05        2017-02-15          87
 702016-12-05   2017-03-12   87
 712016-12-05   2017-01-13   87
 722016-12-05   2017-01-29   87
 732016-12-05   2017-01-20   87
 742016-12-05   2017-01-09   87
 752016-12-05   2017-02-25   87
 762016-12-05   2017-01-28   87
 772016-12-05   2017-02-09   87
 782016-12-05   2017-01-23   87
 792016-12-05   2017-01-27   87
 802016-12-05   2017-01-11   87
 812016-12-05   NULL         30
 822016-12-05   NULL         30
 832016-12-05   NULL         30
 842016-12-05   NULL         30
 852016-12-05   NULL         30
 862016-12-05   2017-01-17   30
 872016-12-05   NULL         30
 882016-12-05   2017-03-26   30
 892016-12-05   NULL         30
 902016-12-06   2017-02-25   87
 912016-12-06   2017-03-14   87
 922016-12-06   2017-02-22   87
 932016-12-06   2017-02-05   87
 942016-12-06   2017-01-28   87
 952016-12-06   2017-02-03   87
 962016-12-06   2017-02-20   87
 972016-12-06   2017-03-12   87
 982016-12-06   2017-03-05   87
 992016-12-06   NULL         30
1002016-12-06   2017-03-11   30
1012016-12-06   2017-01-30   30
1022016-12-06   2017-01-25   30
1032016-12-06   NULL         30
1042016-12-06   2017-02-23   30
1052016-12-06   NULL         30
1062016-12-06   2017-03-30   30
1072016-12-06   NULL         30
1082016-12-06   2017-02-26   30
1092016-12-06   2017-01-24   30
1102016-12-07   2017-02-19   87
1112016-12-07   2017-01-08   87
1122016-12-07   2017-01-28   87
1132016-12-07   2017-03-17   87
1142016-12-07   2017-02-26   87
1152016-12-07   2017-02-27   87
1162016-12-07   2017-02-25   87
1172016-12-07   2017-02-01   87
1182016-12-07   2017-03-03   87
1192016-12-07   2017-01-17   87
1202016-12-07   2017-02-26   30
1212016-12-07   2017-02-11   30
1222016-12-07   NULL         30
1232016-12-07   NULL         30
1242016-12-07   NULL         30
1252016-12-07   NULL         30
1262016-12-07   NULL         30
1272016-12-07   NULL         30
1282016-12-07   2017-02-04   30
1292016-12-07   NULL         30
1302016-12-07   NULL         30
1312016-12-08   2017-02-15   87
1322016-12-08   2017-01-10   87
1332016-12-08   2017-03-04   87
1342016-12-08   2017-02-21   87
1352016-12-08   2017-03-17   87
1362016-12-08   2017-03-17   87
1372016-12-08   2017-03-16   87
1382016-12-08   2017-01-29   87
1392016-12-08   2017-03-13   30
1402016-12-08   2017-01-23   30
1412016-12-08   NULL         30
1422016-12-08   2017-03-24   30
1432016-12-08   2017-03-06   30
1442016-12-08   NULL         30
1452016-12-08   2017-03-01   30
1462016-12-08   2017-02-16   30
1472016-12-09   2017-03-05   87
1482016-12-09   2017-03-08   87
1492016-12-09   2017-01-09   87
1502016-12-09   2017-03-19   87
1512016-12-09   2017-03-03   87
1522016-12-09   2017-01-21   87
1532016-12-09   NULL         30
1542016-12-09   NULL         30
1552016-12-09   2017-02-04   30
