place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.236241240190747,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155675438402007,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.993206130143566,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984005729135745,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.954857930037301,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.942378639188023,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.934258794079854,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.84489379653723,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.811594647853635,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.78644611733281,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Spider-Man: Across the Spider-Verse,8.76703982640687,2023,"Joaquim Dos Santos (dir.), Shameik Moore, Hailee Steinfeld"
12,Forrest Gump,8.765986309366674,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
13,Fight Club,8.74685504918412,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
14,The Lord of the Rings: The Two Towers,8.738039934388425,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,Inception,8.732910677493521,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
16,Star Wars: Episode V - The Empire Strikes Back,8.697241840859672,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
17,The Matrix,8.668242988299202,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
18,GoodFellas,8.653653028068272,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
19,One Flew Over the Cuckoo's Nest,8.636336590551116,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
20,Se7en,8.60459557185329,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
21,It's a Wonderful Life,8.597396056851752,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,Shichinin no samurai,8.596910340872764,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
23,The Silence of the Lambs,8.588156146198044,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
24,Saving Private Ryan,8.580576204981636,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,Cidade de Deus,8.580204755690776,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
26,Interstellar,8.577787994506087,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
27,La vita è bella,8.569911267545676,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
28,The Green Mile,8.564770656797643,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
29,Star Wars,8.545718404482551,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
30,Terminator 2: Judgment Day,8.53813026341259,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
31,Back to the Future,8.517773415681502,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
32,Sen to Chihiro no kamikakushi,8.516155754413482,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
33,The Pianist,8.50935257983981,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Psycho,8.505509061173086,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
35,Gisaengchung,8.501977964993657,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
36,Léon,8.489187684911084,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
37,The Lion King,8.487905276329748,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
38,Gladiator,8.487371997885987,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
39,American History X,8.480252370792963,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
40,The Departed,8.47681725743713,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
41,Whiplash,8.470949882127956,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
42,The Prestige,8.469543562595515,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
43,The Usual Suspects,8.467078014701295,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
44,Casablanca,8.460951469172132,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
45,Hotaru no haka,8.458814103201442,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
